codigo_materia_prima;descricao_materia_prima;consumo_mp_12_meses;consumo_mp_6_meses;consumo_mp_3_meses;media_12_meses;media_6_meses;media_3_meses;maior_media
813265;CARCAÇA SUPERIOR NEW BV;8455,0;4024,0;1820,0;704,5833;670,6667;606,6667;704,5833
701155;EIXO PRINCIPAL DO NEW BV - BRUTO;8454,0;4024,0;1820,0;704,5;670,6667;606,6667;704,5
813257;BASE CENTRAL NEW BV;8452,0;4024,0;1820,0;704,3333;670,6667;606,6667;704,3333
813256;TAMPA DA CENTRAL NEW BV;8452,0;4024,0;1820,0;704,3333;670,6667;606,6667;704,3333
811329;ETIQUETA ADES. COUCHE 100MM X 80MM X 01 CAR AZUL;7889,0;3630,0;2060,0;657,4167;605,0;686,6667;686,6667
813540;CARTUCHO DA PORCA DE 6 ENTRADAS P.60 1/2;7889,0;3630,0;2060,0;657,4167;605,0;686,6667;686,6667
813395;PASSA FIO DO NEW BV;7788,0;3861,0;1765,0;649,0;643,5;588,3333;649,0
811729;CAIXA MOTOR BASCULANTE AGL 18,9 X 14,1 X 23,4;7620,0;3669,0;1755,0;635,0;611,5;585,0;635,0
813038;BASE CENTRAL DO BV;7617,0;3669,0;1755,0;634,75;611,5;585,0;634,75
813179;TAMPA DA CENTRAL DO BV;7617,0;3669,0;1755,0;634,75;611,5;585,0;634,75
401173;REBITE C/ROSCA SEXT. M5 CAB. PLANA ZB;7518,0;3710,0;1830,0;626,5;618,3333;610,0;626,5
813254;PINO DA GUIA DE CENTRAGEM;7484,0;2820,0;1516,0;623,6667;470,0;505,3333;623,6667
401254;PARAFUSO PA ALLEN  M6 x 12;6896,0;3664,0;1848,0;574,6667;610,6667;616,0;616,0
412155;ESTATOR BOBINADO AGL BV/NEW BV/PIVO P28 1/5 cv 04 42 220V 60Hz;6102,0;3396,0;1623,0;508,5;566,0;541,0;566,0
804326;BASE DE PROTEÇÃO DA CENTRAL NEW PIVO;6702,0;2704,0;1495,0;558,5;450,6667;498,3333;558,5
804327;TAMPA DE PROTEÇÃO DA CENTRAL NEW PIVO;6702,0;2704,0;1495,0;558,5;450,6667;498,3333;558,5
811802;CAIXA MASTER 12 - CX DA CENTRAL PIVÔ;6657,0;2694,0;1495,0;554,75;449,0;498,3333;554,75
