Código;Descrição;CódigoMP;Descrição MP;QTD MP;Tipo;Coluna1;OBS
2001174;CONJ. MOVIMENTADOR TRINO 900 127V 50-60HZ COM B. ALUMINIUM;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001175;CONJ. MOVIMENTADOR TRINO 900 220V 50-60HZ COM  B. ALUMINIUM;813100;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO 700/900 1 ENTRADA 300/500/SOFT;1;;2;
2001175;CONJ. MOVIMENTADOR TRINO 900 220V 50-60HZ COM  B. ALUMINIUM;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001177;CONJ. MOVIMENTADOR TRINO SOFT 220V 50-60Hz COM  B. ALUMINIUM;813099;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO SPEED 300/500/SOFT 2 ENTRADAS;1;;2;
2001177;CONJ. MOVIMENTADOR TRINO SOFT 220V 50-60Hz COM  B. ALUMINIUM;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001180;CONJ. MOVIMENTADOR TRINO 300 SPEED 127V 50-60HZ SEM CREMALHEIRA COM  B. ALUMINIUM;813099;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO SPEED 300/500/SOFT 2 ENTRADAS;1;;2;
2001180;CONJ. MOVIMENTADOR TRINO 300 SPEED 127V 50-60HZ SEM CREMALHEIRA COM  B. ALUMINIUM;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001181;CONJ. MOVIMENTADOR TRINO 300 SPEED 220V 50-60HZ SEM CREMALHEIRA COM  B. ALUMINIUM;813099;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO SPEED 300/500/SOFT 2 ENTRADAS;1;;2;
2001181;CONJ. MOVIMENTADOR TRINO 300 SPEED 220V 50-60HZ SEM CREMALHEIRA COM  B. ALUMINIUM;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001184;CONJ. MOVIMENTADOR TRINO 500 SPEED 127V 50-60HZ SEM CREMALHEIRA COM  B. ALUMINIUM;813099;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO SPEED 300/500/SOFT 2 ENTRADAS;1;;2;
