"codigo","descricao","06/2025","07/2025","08/2025","09/2025","10/2025","11/2025","12/2025","01/2026","02/2026","03/2026","04/2026","05/2026","m_06/2025","m_07/2025","m_08/2025","m_09/2025","m_10/2025","m_11/2025","m_12/2025","m_01/2026","m_02/2026","m_03/2026","m_04/2026","m_05/2026","consumo_total_12_meses","media_diaria_12_meses"
"813409","TAMPÃO DO ENGRENAGEM EXTERNA MOTORES DZ",4588,6043,5884,5197,5886,4525,3541,6208,4485,5002,3904,1832,153,195,190,173,190,151,114,200,160,161,130,59,57095,156
"804247","BASE DA CENTRAL DESLIZANTE",4505,5937,5855,5225,5777,4538,3634,6201,4500,5017,4004,1820,150,192,189,174,186,151,117,200,161,162,133,59,57013,156
"804248","TAMPA DA CENTRAL DESLIZANTE",4505,5937,5855,5225,5777,4538,3593,6201,4492,5016,4004,1819,150,192,189,174,186,151,116,200,160,162,133,59,56962,156
"811760","CAIXA PARA CONTROLE REMOTO AGL 4,0 X 6,2",5019,3752,2680,4466,8432,3090,1395,4200,7070,6853,4625,5379,167,121,86,149,272,103,45,135,252,221,154,174,56961,156
"813410","BUCHA DE CENTRAGEM DO EIXO DO ROTOR DZ",4523,5936,5897,5103,5780,4507,3567,6205,4481,5012,3947,1826,151,191,190,170,186,150,115,200,160,162,132,59,56784,156
"813455","SENSOR DE FIM DE CURSO REED DESLIZANTE",4523,5893,5874,5098,5757,4507,3541,6198,4473,5002,3990,1816,151,190,189,170,186,150,114,200,160,161,133,59,56672,155
"813289","ENGRENAGEM INTERNA DE 1 ENTRADA DZ E NEWBV SEM IMÃ",4023,4241,5486,5346,6783,4815,3428,6814,4488,4915,3510,1920,134,137,177,178,219,160,111,220,160,159,117,62,55769,153
"102555","TECLADO EM BORRACHA PARA CONTROLE REMOTO - RUBBER KEY 4 KEYS",3932,4456,4472,3294,7820,2640,1305,3995,5986,6669,4475,5081,131,144,144,110,252,88,42,129,214,215,149,164,54125,148
"804177","ALÇA DO CONTROLE REMOTO INTER. DIGI. DIGITAL KEY PRETO",4017,4768,4544,3076,8916,2914,1409,5118,4865,3877,4825,5745,134,154,147,103,288,97,45,165,174,125,161,185,54074,148
"804165","BASE INFERIOR DO CONTROLE REMOTO INTER. DIGI. DIGITAL KEY - PRETO",4017,4768,4544,3076,8916,2914,1409,5118,4865,3877,4825,5745,134,154,147,103,288,97,45,165,174,125,161,185,54074,148
