Código,Descrição,Família,Consumo V.,Consumo P.,PR,Liberio,Estoque setor,Almoxarifado,Estoque total,Situação,Cobertura,LT,Necessidade,Nº BraZip,Data solic.,Qtd solic.,Fornecedor,Aplicação
401235,PARAFUSO ALLEN C/CAB 912 M14X35 ZB,Parafusos Geral,-,0.6666666666666666,5,49,147,0,147,Estoque em dia,221 meses,,0,,,,,
401267,PARAFUSO AÇO MET S/CAB SX INT PTA CONCOVA M10X40MM ,Parafusos Geral,-,17.833333333333332,35,100,400,0,400,Estoque em dia,22 meses,20.031041666661622,652.8661545950206,,,,,1 unidade por barreira articulada
401255,PARAFUSO AÇO MET CIL SX INT M8X25MM RI,Parafusos Geral,-,17.416666666666668,35,100,200,0,200,Estoque em dia,11 meses,36.98614583332892,307.51146182217343,,,,,Barreira articulada (1 und/ barreira)
401181,PARAFUSO AÇO MET CIL SX INT M8X50MM OX,Parafusos Geral,-,-,-,100,0,0,0,Não compra,,22.73394675925956,0,,,,,Substituido pelo item 401194
401180,PARAFUSO AÇO MET CIL SX INT M8X45MM OX,Parafusos Geral,-,52.75,95,100,200,0,200,Estoque em dia,4 meses,,0,,,,,Montagem da barreira articulada e do suporte da barreira
401141,PARAFUSO AÇO MET CIL SX INT M6X30MM OX,Parafusos Geral,-,345.8333333333333,610,400,700,0,700,Estoque em dia,2 meses,21.063964120370656,39.658927445894406,,,,,Montagem de fechamento no eixo da cancela do suporte da barreira antigo
401182,PARAFUSO AÇO MET CIL SX INT M10X40MM OX,Parafusos Geral,-,435.3333333333333,765,1050,600,0,600,Fazer pedido,41 dias,35.66510030864447,5.682526031324905,,,,,Montagem do motor da cancela no gabinete
401044,PARAFUSO A/A PAN PHS 2.9 X 9.5 ZI,Parafusos Geral,-,166.25,295,500,3000,0,3000,Estoque em dia,18 meses,,0,,,,,strong e bv cadena
401010,"PARAFUSO 6,3X13 AA PAN PHS ZBR",Parafusos Geral,-,-,-,0,22934,0,22934,Gerar consumo,,,0,,,,,NÃO USA  (AJUSTAR MOLDE P/ CONSUMIR)
401007,PARAFUSO 4.8 X 13 A/A PN. PH - ZI,Parafusos Geral,-,112031,196055,200000,66009,0,66009,Fazer pedido,18 dias,25.01457312091567,-7.338483467159122,7082,2026-04-29 00:00:00,200000,,Montagem cremalheira de alumínio e fechamento da tampa da Dz na base de alumínio(será substituido pelo 401248
401006,"PARAFUSO 4,8 X 19 AA PAN PHS ZBR",Parafusos Geral,-,68.5,120,100,0,0,0,Fechaduras,0 dias,22.896388888890215,-22.896388888890215,,,,,"Motor Strong (Parafuso é usado nas fechaduras, alinhado com o PCP)"
401012,PARAFUSO 3.5 X 13 CH. PH - OXI,Parafusos Geral,-,332.1666666666667,585,2000,306,0,306,Fechaduras,28 dias,,-2.3632714500752634,,,,,"Montagem do encoder New BV (pegar na Fechaduras, alinhado PCP)"
401069,PARAFUSO 2.9X13MM A/A PAN PHS ZI,Parafusos Geral,-,6101.666666666667,10680,20000,22900,0,22900,Estoque em dia,4 meses,24.401707175926276,88.19048075086968,,,,,Montagem do fim de curso acionamentos Bv / Pivo / New  Bv
401014,PARAFUSO 2.9 X 6.5 A/A PAN PHS ZI,Parafusos Geral,-,8548.5,14960,30000,25500,0,25500,Estoque em dia,3 meses,36.06894241898226,53.42044168349186,,,,,Montagem das placas motores/montagem da veneziana
401208,PA MQ PN HXL T25 TMA 5X12 RI ZB,Parafusos Geral,-,6164,10790,35000,24000,257500,281500,Estoque em dia,46 meses,31.97597718253798,1338.0759371587988,,,,,Mancal New Bv
401172,P ACO MET S/CAB SX INT PTA CONCOVA M8X20MM OX,Parafusos Geral,-,81.91666666666667,145,100,800,0,800,Estoque em dia,10 meses,19.67679398148175,273.3038774325569,,,,,Travamento do eixo da cancela no suporte da barreira antigo
403049,MOLA PARA DESTRAVAMENTO PIVOTANTE,Molas,-,1675.1666666666667,2935,2000,2663,0,2663,Fazer pedido,48 dias,25.753964120371165,21.93681291673957,,,,,Montagem do destravamento pivo
403055,MOLA DO FREIO NEW BV HEAVY SPEED,Molas,-,2.5833333333333335,5,300,400,0,400,Estoque em dia,155 meses,,0,,,,,Montagem do freio do New Bv Heavy
403047,MOLA DO FREIO MOTOR PIVOTANTE/ NEW BV,Molas,-,1255.1666666666667,2200,2500,3709,0,3709,Estoque em dia,3 meses,33.943061342593865,54.70652038626021,,,,,Montagem do freio Pivo e New Bv4 speed e new bv3 speed
403050,"MOLA DE DESTRAVAMENTO MOTOR INDUSTRIAL FIO 2,40MM X 80,00MM",Molas,-,36,65,200,1030,0,1030,Estoque em dia,29 meses,40.85820601852174,817.4751273148116,,,,,Montagem do destravamento Strong
403032,MOLA DE DESTRAVAMENTO DESLIZANTE,Molas,-,5022.833333333333,8790,11000,15689,0,15689,Estoque em dia,3 meses,31.707509259259677,61.998566328887776,,,,,Montagem do destravamento Dz
403027,MOLA CÔNICA DO FREIO DESLIZANTE Ø 2.4,Molas,-,186.91666666666666,330,1000,28000,0,28000,Estoque em dia,150 meses,,4463.981275078021,,,,,Montagem do freio mecânico Dz speed
403043,MOLA CÔNICA DO FREIO DESLIZANTE Ø 1.8,Molas,-,17.416666666666668,35,11000,13677,0,13677,Estoque em dia,785 meses,35.880571759259325,23522.58832776227,,,,,"Montagem do freio mecânico Dz convencional, Turbo e Brabus (não comprar mais, a menos que a exclusão do freio dos deslizantes convencionais venha a dar problemas na rua)"
102806,MICRO CHAVE NS0-040D PARA BV CORRENTE,Parafusos Geral,-,33.5,60,500,490,0,490,Estoque em dia,15 meses,34.04357638888905,404.76239376036466,,,,,BV CADENA
500035,MANUAL PISTON CLICK,Manuais,-,-,-,0.1,291,0,291,Sob Demanda,,,0,,,,,RODAR NA GRÁFICA (SOB DEMANDA)
811122,MANUAL P / AUTOMATIZADOR DZ/BV/NEW BV CENTRAL FLEX/LIGHT EM PORTUGUÊS SEM LOGO,Manuais,-,4421,7740,15000,6600,0,6600,Fazer pedido,45 dias,41.848538773145265,2.9377086821815794,7135,2026-05-12 00:00:00,10000,,CENTRAL FLEX / LIGHT / CCMD
