Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,541,-14115,-19815,-20619,-31326,-36963,-41685,-43306,-43366,-43366.1,-131001.70370370311,-306275.1111111119,Unnamed: 16,194247,87635.70370370302,262909.11111111066,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
Departamento,,Descrição,Seção,,,,,,,,,,,Estoque mínimo,Estoque Máximo,Curva,,Estoque min,Estoque max,,,,,,,,Carteira
FECHADURAS,1006041,TRAVA ELETROMAGNÉTICA 220V - CINZA C/ MODULO V2024,TRAVA ELETROMAGNETICA ,0,-46,-46,-46,-61,-84,-84,-86,-86,-86,-268,-633,A,86,182,547,0,0,0,0,0,0,,0x17
FECHADURAS,1002028,FECHADURA AGL- AL100R - 12V PRETA - AJUST. CH.SIMP. F.ESP.,FECHADURA AGL - AL100R,0,-44,-44,-64,-114,-304,-304,-334,-334,-334,-405,-547,B,0,71,213,0,0,0,0,0,0,,0x17
ELETROIMÃ,1301003,FECHADURA ELETROIMA AGL AL 150 - CINZA,FECHADURAS ELETROÍMÃ ,0,-43,-43,-43,-73,-73,-73,-73,-73,-73,-348,-899,A,536,275,826,0,0,0,0,0,0,,0x17
INTERFONIA ,1106114,INTERRUPTOR INTELIGENTE WIFI TOUCH 3 TECLAS PRETO,IMPORTADOS,13,-43,-43,-43,-43,-43,-43,-43,-43,-43,-74,-137,B,87,31,94,0,0,0,0,0,0,,0x17
FECHADURAS,1007012,CILINDRO TETRA CHAVE,REPOSIÇÃO / DIVERSOS - FECHADURAS,0,-42,-42,-42,-42,-42,-42,-42,-42,-42,-48,-61,C,0,6,19,0,0,0,0,0,0,,0x17
FECHADURAS,1012007,FECHADURA DE SOBREPOR AGL CHAVE TETRA CINZA,FECHADURA SOBREPOR,40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-43,-48,C,0,3,8,0,0,0,0,0,0,,0x17
MOTORES,2007086,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V SEM ACIONAMENTO,PIVOTANTES SIMPLES,0,-38,-38,-38,-43,-43,-43,-43,-43,-43,-62,-101,C,0,19,58,0,0,0,0,0,0,,
CANCELAS,1015009,"CANCELA AGUSTA BRUSHLESS P/ BARREIRA SEM LOGO DC 1,2S - ATÉ 4,0M CINZA",CANCELA,0,-37,-37,-37,-37,-47,-47,-47,-47,-47,-55,-72,A,3,8,25,0,0,0,0,0,0,,0x17
MOTORES,2007087,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V SEM ACIONAMENTO - DUPLO,PIVOTANTES DUPLOS,0,-34,-35,-35,-35,-35,-35,-35,-35,-35,-89,-197,C,22,54,162,0,0,0,0,0,0,,0x17
FECHADURAS,1016008,CONTROLADOR DE ACESSO AGL- MINI - 12V CINZA - 42MM A. INT. CH.SIMP. F.CONV.,FECHADURA AGL-MINI,0,-34,-34,-34,-34,-34,-34,-34,-34,-34,-123,-300,B,16,89,266,0,0,0,0,0,0,,0x17
