Unnamed: 0,Unnamed: 1,TOTAL,12,-149,-1453,-2710,-8179,-14410,-14804,-24001,-38015,-44157,-61460,-96075,Unnamed: 15,Unnamed: 16,Unnamed: 17
2010294,CONJUNTO DE CHAVE DE DESTRAVAMENTO PIVO,REPOSIÇÃO E DIVERSOS -MOTOR,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,PROGRAMADO,,
2001333,CONJ. MOVIMENTADOR TRINO 500 127V 50-60HZ - CONDOMINIAL 100 SEM CREMALHEIRA,DESLIZANTE TRINO,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,PROGRAMADO,,
2003010,"INTER. DIGI. DIGITAL KEY 6P20 433,92 PRETO COM BOTÃO PRETO AGL",CONTROLES,,,,-212,-367,-949,-1059,-2479,-5529,-5579,-7732,-12038,,,
2001018,"CREMALHEIRA RESIDENCIAL 1,5 METRO GOMO PLÁSTICO MOD 4",BARRA DENTADA,,,,-200,-1824,-1914,-1974,-2514,-2839,-4139,-5995,-9706,,,
2003034,"INTER. DIGI. DIGITAL KEY 6P20 433,92 PARA MOTOR DE PORTA DE ENROLAR AGL",CONTROLES,,,,-180,-210,-265,-265,-435,-945,-945,-1311,-2042,,,
2003007,"INTER. DIGI. DIGITAL KEY 6P20 433,92 BRANCO COM BOTÃO VERDE AGL",CONTROLES,,,,-100,-100,-100,-100,-200,-300,-300,-328,-385,,,
2003006,"INTER. DIGI. DIGITAL KEY 6P20 433,92 PRETO COM BOTÃO VERDE AGL",CONTROLES,,,,-52,-52,-52,-52,-252,-352,-352,-482,-741,,,
2010324,CREMALHEIRA P/ MOTOR INDUSTRIAL STRONG 2000KG 1M GOMO ALUMÍNIO,BARRA DENTADA,,,,-49,-149,-169,-169,-199,-239,-279,-395,-626,,,
2010226,CREMALHEIRA P/ MOTOR INDUSTRIAL STRONG 2000KG 1M NYLON,BARRA DENTADA,,,,-14,-54,-54,-54,-84,-104,-124,-172,-268,,,
2009509,"ACIONAMENTO P/ MOVIMENTADOR TRINO PIVÔ 0,75M",ACIONAMENTOS DE MOTORES,,,,-13,-124,-348,-348,-478,-1084,-1416,-1556,-1835,,,
2009510,"ACIONAMENTO P/ MOVIMENTADOR TRINO PIVÔ 1,0M",ACIONAMENTOS DE MOTORES,,,,-8,-25,-117,-117,-168,-292,-402,-421,-459,,,
2006093,CONJ. MOVIMENTADOR INTELIGENTE - IZZY TRINO NEW BV3 SPEED 127V SEM ACIONAMENTO,MOTORES NEW BV,,,,-8,-8,-8,-8,-16,-24,-30,-35,-44,,,
2001038,CONJ. MOVIMENTADOR TRINO 500 SPEED 220V 50-60HZ SEM CREMALHEIRA,DESLIZANTE TRINO,,,,-6,-6,-6,-6,-6,-6,-16,-25,-42,PROGRAMADO,,
2010025,FIM DE CURSO COMPLETO PARA MOTOR DE ENROLAR AGL,REPOSIÇÃO E DIVERSOS -MOTOR,,,,-6,-6,-6,-6,-6,-6,-6,-6,-6,PROGRAMADO,,
2005039,CONJ. MOVIMENTADOR P/ PORTA DE ENROLAR AC500 - 220V SEM TESTEIRA,AUTOMATIZADORES PORTA DE ENROLAR,,,,-5,-10,-10,-10,-10,-10,-10,-25,-55,ENTREGUE HOJE,,
2006035,CONJ. MOVIMENTADOR INTELIGENTE - IZZY DZ INDUSTRIAL STRONG 2000KG 220V 50-60HZ SEM CREMALHEIRA,DESLIZANTE INTELIGENTE IZZY,,,,-5,-5,-5,-5,-10,-15,-20,-24,-32,PROGRAMADO,,
2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,PIVOTANTES DUPLOS,,,,-4,-10,-95,-95,-132,-397,-497,-542,-633,,,
2005040,CONJ. MOVIMENTADOR P/ PORTA DE ENROLAR AC600 - 220V SEM TESTEIRA,AUTOMATIZADORES PORTA DE ENROLAR,,,,-4,-4,-5,-5,-7,-8,-9,-41,-104,ENTREGUE HOJE,,
2007086,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V SEM ACIONAMENTO,PIVOTANTES SIMPLES,,,,-2,-24,-47,-47,-77,-109,-123,-128,-139,,,
2008508,"ACIONAMENTO MOVIMENTADOR TRINO BV SPEED 2,0M",ACIONAMENTOS DE MOTORES,,,,-2,-2,-2,-5,-8,-8,-8,-12,-21,,,
2009006,CONJ. MOVIMENTADOR PIVO ROBÔ STRONG 127V 50-60HZ,PIVOTANTES ROBÔ,,,,-2,-2,-2,-2,-2,-2,-2,-2,-2,,,
2013505,"ACIONAMENTO MOVIMENTADOR TRINO DESLIZANTE HORIZONTAL 4,0M",ACIONAMENTOS DE MOTORES,,,,-1,-16,-18,-18,-19,-22,-24,-28,-37,,,
2010243,ENGRENAGEM INTERNA PARA MOTOR INDUSTRIAL ZAMAC,REPOSIÇÃO E DIVERSOS -MOTOR,,,,-1,-1,-3,-3,-3,-3,-3,-11,-28,PROGRAMADO,,
2009011,CONJ. MOVIMENTADOR INTELIGENTE - IZZY PIVO ROBÔ STRONG 220V 50-60HZ,PIVOTANTES ROBÔ,,,,-1,-1,-1,-1,-5,-6,-7,-7,-7,,,
2010139,TAMPA DA VENTOINHA - BV,REPOSIÇÃO E DIVERSOS -MOTOR,,,,-1,-1,-1,-1,-1,-1,-1,-5,-12,PROGRAMADO,,
2005710,"CONJ. AUTOMATIZADOR PARA PORTA SOCIAL BRUSHLESS DZ SLIP C/R 6,0M PRETO",PORTA SOCIAL,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,PROGRAMADO,,
2001015,"CREMALHEIRA RESIDENCIAL 1,5 METRO GOMO ALUM MOD 4",BARRA DENTADA,,,,,-2356,-2613,-2643,-3708,-5538,-7258,-9045,-12620,,,
2008031,CONJ. MOVIMENTADOR TRINO NEW BV4 SPEED 220V SEM ACIONAMENTO,MOTORES NEW BV,,,,,-144,-144,-149,-154,-174,-174,-229,-340,,,
2010447,BASE DE CHÃO REGULÁVEL PARA MOTOR DZ UNIVERSAL,REPOSIÇÃO E DIVERSOS -MOTOR,,,,,-76,-81,-81,-84,-87,-87,-97,-118,PROGRAMADO,,
2010155,ENGRENAGEM INTERNA BV/ PIVO AGL ZAMAC,REPOSIÇÃO E DIVERSOS -MOTOR,,,,,-63,-118,-118,-138,-158,-183,-259,-411,PROGRAMADO,,
2010004,ENGRENAGEM INTERNA TRINO LIGHT 300/500 - SEM IMÃ,REPOSIÇÃO E DIVERSOS -MOTOR,,,,,-24,-52,-52,-85,-118,-118,-163,-252,PROGRAMADO,,
2008507,"ACIONAMENTO MOVIMENTADOR TRINO BV SPEED 1,5M",ACIONAMENTOS DE MOTORES,,,,,-23,-33,-33,-333,-533,-843,-1052,-1470,,,
2010003,ENGRENAGEM EXTERNA 17D M4 TRINO,REPOSIÇÃO E DIVERSOS -MOTOR,,,,,-20,-20,-25,-53,-76,-76,-97,-140,PROGRAMADO,,
2010437,CHAVE DE DESTRAVAMENTO NYLON NOVA PARA TRINO 300 / LIGHT AGL,REPOSIÇÃO E DIVERSOS -MOTOR,,,,,-17,-17,-17,-20,-23,-23,-25,-30,PROGRAMADO,,
2001261,CONJ. MOVIMENTADOR DZ BRABUS SPEED 300 B. ALUMINIUM 220V 50-60HZ,DESLIZANTE BRABUS,,,,,-15,-15,-15,-15,-15,-15,-17,-21,,,
2010098,"PORCA DO FUSO DE 4 ENTRADAS 1,4M A 2,0M",REPOSIÇÃO E DIVERSOS -MOTOR,,,,,-11,-11,-11,-11,-11,-11,-32,-73,PROGRAMADO,,
2013504,"ACIONAMENTO MOVIMENTADOR TRINO DESLIZANTE HORIZONTAL 3,5M",ACIONAMENTOS DE MOTORES,,,,,-10,-16,-16,-25,-39,-44,-63,-100,,,
2007092,CONJUNTO MOVIMENTADOR TRINO PIVÔ 4 220V SEM ACIONAMENTO,PIVOTANTES SIMPLES,,,,,-9,-29,-29,-29,-29,-29,-34,-43,,,
2013503,"ACIONAMENTO MOVIMENTADOR TRINO DESLIZANTE HORIZONTAL 3,0M",ACIONAMENTOS DE MOTORES,,,,,-9,-22,-22,-45,-78,-88,-117,-175,,,
2008528,"ACIONAMENTO MOVIMENTADOR TRINO NEW BV 2,0M",ACIONAMENTOS DE MOTORES,,,,,-9,-9,-9,-17,-25,-30,-69,-146,,,
2007090,CONJUNTO MOVIMENTADOR TRINO PIVÔ 4 127V SEM ACIONAMENTO,PIVOTANTES SIMPLES,,,,,-7,-27,-27,-27,-27,-27,-29,-32,,,
2006082,CONJ. MOVIMENTADOR INTELIGENTE - IZZY TRINO NEW BV3 SPEED 220V SEM ACIONAMENTO,MOTORES NEW BV,,,,,-7,-7,-12,-33,-46,-57,-80,-126,,,
2013507,"ACIONAMENTO MOVIMENTADOR TRINO DESLIZANTE HORIZONTAL 5,0M",ACIONAMENTOS DE MOTORES,,,,,-7,-7,-7,-7,-7,-7,-10,-16,,,
2013508,"ACIONAMENTO MOVIMENTADOR TRINO DESLIZANTE HORIZONTAL 5,5M",ACIONAMENTOS DE MOTORES,,,,,-7,-7,-7,-7,-7,-7,-8,-10,,,
2010543,BASE PLÁSTICA DA CENTRAL DESLIZANTE,REPOSIÇÃO E DIVERSOS -MOTOR,,,,,-7,-7,-7,-7,-7,-7,-7,-7,PROGRAMADO,,
2001215,CONJ. MOVIMENTADOR DZ BRABUS SPEED LIGHT 220V 50-60HZ SEM CREMALHEIRA,DESLIZANTE BRABUS,,,,,-6,-6,-6,-6,-6,-6,-37,-98,,,
2001279,CONJ. MOVIMENTADOR DZ BRABUS SPEED 500 B. ALUMINIUM 220V 50-60HZ SEM CREMALH.,DESLIZANTE BRABUS,,,,,-5,-5,-10,-15,-15,-15,-22,-36,,,
2010405,"PORCA DO FUSO DE 6 ENTRADAS PARA DESLIZANTE HORIZONTAL - 1,5M E 2,0M",REPOSIÇÃO E DIVERSOS -MOTOR,,,,,-5,-5,-5,-5,-5,-5,-7,-12,PROGRAMADO,,
2001181,CONJ. MOVIMENTADOR TRINO 300 SPEED 220V 50-60HZ SEM CREMALHEIRA COM B. ALUMINIUM,DESLIZANTE TRINO,,,,,-3,-3,-3,-3,-3,-3,-4,-5,,,
2008077,CONJ. MOVIMENTADOR NEW BV SPEED TURBO PRO 1/2HP FREQUENCY INVERTER BIVOLT S/ ACIONAMENTO S/ CENTRAL,MOTORES NEW BV,,,,,-2,-2,-2,-4,-4,-4,-5,-6,ENTREGUE AMANHA,,
