chave,coluna_1,coluna_2,coluna_3,coluna_4,coluna_5,coluna_6,coluna_7,coluna_8,coluna_9,coluna_10
Bobinagem,412167,ESTATOR BOBINADO AGL DESL P45 1/2 cv 04 42Z 127V 60Hz,UNIDADE,UN,,191,0,0,0,0
Bobinagem,412376,ESTATOR BOBINADO AGL DESL P60 STRONG 1/3cv 04 42Z 127V 60HZ,UNIDADE,UN,,3,0,0,0,0
Bobinagem,412014,ESTATOR BOBINADO AGL DESL P60 STRONG 1/3cv 04 42Z 220V 60HZ,UNIDADE,UN,,84,0,0,0,0
Bobinagem,412169,ESTATOR BOBINADO AGL DESL P80 STRONG 3/4 127V 60HZ,UNIDADE,UN,,97,0,0,0,0
Bobinagem,412158,ESTATOR BOBINADO AGL DESL P80 STRONG 3/4 220V 50/60HZ,UNIDADE,UN,,52,0,0,0,0
Bobinagem,412121,ESTATOR BOBINADO AGL NEW BV P17 1/7 cv 04 42Z 127V 60HZ,UNIDADE,UN,,454,0,0,0,0
Bobinagem,412120,ESTATOR BOBINADO AGL NEW BV P17 1/7 cv 04 42Z 220V 60HZ,UNIDADE,UN,,42,0,0,0,0
Bobinagem,412024,ESTATOR BOBINADO AGL NEW BV P39 04 42Z 127V 60HZ,UNIDADE,UN,,1651,0,0,0,0
Bobinagem,412151,ESTATOR BOBINADO AGL NEW BV P39 04 42Z 220V 60HZ,UNIDADE,UN,,927,0,0,0,0
Bobinagem,412038,ESTATOR BOBINADO AGL NEW BV/BV SPEEDTURBO PRO P39 4P 3F 110V 60HZ,UNIDADE,UN,,295,0,0,0,0
Bobinagem,412374,ESTATOR P20 DESLIZANTE WEG 127V 60HZ,UNIDADE,UN,,377,0,0,0,0
Bobinagem,412396,ESTATOR P28 DESLIZANTE WEG 127V 60HZ,UNIDADE,UN,,191,0,0,0,0
Bobinagem,412395,ESTATOR P28 DESLIZANTE WEG 220V 60HZ,UNIDADE,UN,,6,0,0,0,0
Bobinagem,412394,ESTATOR P35 DESLIZANTE WEG 220V 60HZ,UNIDADE,UN,,48,0,0,0,0
Bobinagem,412399,ESTATOR P47 DESLIZANTE WEG 127V 60HZ,UNIDADE,UN,,134,0,0,0,0
Bobinagem,412021,ROTOR AGL DESL P24 4 POLOS EIXO C/ VENTOINHA,UNIDADE,UN,,857,0,0,0,0
Bobinagem,412147,ROTOR AGL NEW BV P28 4 POLOS,UNIDADE,UN,,2813,0,0,0,0
Bobinagem,412162,ROTOR AGL NEW BV P33 4 POLOS,UNIDADE,UN,,511,0,0,0,0
Bobinagem,412163,ROTOR AGL NEW BV P39 4 POLOS,UNIDADE,UN,,466,0,0,0,0
Bobinagem,412393,ROTOR P35 DESLIZANTE 4P WEG,UNIDADE,UN,,619,0,0,0,0
Plastico,36900,ABS ALTO BRILHO PRETO,KG,KG,,100,0,0,0,0
Plastico,301019,ABS CINZA,QUILOGRAMA,KG,,11185,0,0,0,0
Plastico,301027,ABS CRISTAL,QUILOGRAMA,UN,,50,0,0,0,0
Plastico,301002,ABS INDUSTRIAL PRETO,QUILOGRAMA,KG,,2068,0,0,0,0
Plastico,301001,ABS VIRGEM,QUILOGRAMA,KG,,472,0,0,0,0
Plastico,804241,"ACABAMENTO BATENTE BRANCO LINHA RX / MINI SMART 1,50MM X 119MM (N°2)",UNIDADE,UN,,1510,0,0,0,0
Plastico,804243,"ACABAMENTO BATENTE BRANCO LINHA RX / MINI SMART 3,5MM X 119MM (N°1)",UNIDADE,UN,,2706,0,0,0,0
Plastico,804238,"ACABAMENTO BATENTE PRETO LINHA RX / MINI SMART 1,50MM X 119MM (N°2)",UNIDADE,UN,,8092,0,0,0,0
Plastico,804240,"ACABAMENTO BATENTE PRETO LINHA RX / MINI SMART 3,5MM X 119MM (N°1)",UNIDADE,UN,,4017,0,0,0,0
Plastico,804242,"ACABAMENTO DO BATENTE MINI SMART 2,7MMX119MM - BRANCO (N°3)",UNIDADE,UN,,2390,0,0,0,0
Plastico,804239,"ACABAMENTO DO BATENTE MINI SMART 2,70MMX119MM - PRETO (N°3)",UNIDADE,UN,,4785,0,0,0,0
Plastico,804462,ACABAMENTO DO TUBO INOX PIVÔ/BARREIRA ARTICULADA,UNIDADE,UN,,548,0,0,0,0
Plastico,804449,ACABAMENTO LATERAL SAFE BOX,UNIDADE,UN,,1029,0,0,0,0
Plastico,710001,ACABAMENTO MAÇANETA BOLA - BRUTO,UNIDADE,UN,,5138,0,0,0,0
Plastico,804287,ACABAMENTO PERFIL BARREIRA C/ FURO,UNIDADE,UN,,6965,0,0,0,0
Plastico,804256,ACABAMENTO PERFIL BARREIRA S/ FURO,UNIDADE,UN,,894,0,0,0,0
Plastico,804323,ACABAMENTO RECORTE PV,UNIDADE,UN,,4573,0,0,0,0
Plastico,804547,ACABAMENTO REDONDO DO CILINDRO DA BT-100 - BRANCO,UNIDADE,UN,,1558,0,0,0,0
Plastico,804546,ACABAMENTO REDONDO DO CILINDRO DA BT-100 - PRETO,UNIDADE,UN,,11868,0,0,0,0
Plastico,804216,ACABAMENTO REDONDO DO CILINDRO DA RX500 - BRANCO,UNIDADE,UN,,2162,0,0,0,0
Plastico,804217,ACABAMENTO REDONDO DO CILINDRO DA RX500 - PRETO,UNIDADE,UN,,1766,0,0,0,0
Plastico,804232,ACABAMENTO RETANGULAR DO CILINDRO DA RX200 - BRANCO,UNIDADE,UN,,8989,0,0,0,0
Plastico,804233,ACABAMENTO RETANGULAR DO CILINDRO DA RX200 - PRETO,UNIDADE,UN,,19161,0,0,0,0
Plastico,813483,ACIONADOR DA MICRO CHAVE BV CADENA,UNIDADE,UN,,2450,0,0,0,0
Plastico,801079,ACIONADOR DA TAMPA COM BOTÃO MINI/AL100/AL100R,UNIDADE,UN,,2014,0,0,0,0
Plastico,804535,ACIONADOR ROTATIVO FECHADURA T12S - PRETO,UNIDADE,UN,,411,0,0,0,0
Plastico,301009,ACRILICO CRISTAL LEP100 INCOLOR,QUILOGRAMA,KG,,52,0,0,0,0
