left,top,width,height,conteudo
512023,CONJUNTOESTATOREROTORAGLDESLP80STRONG3/4220V60HZ,UNIDADE,UN,"28,00"
1015660,CONJUNTOSUPORTEFIXAÇÃOBARREIRAARTICULADA,UNIDADE,UN,AGLELETRONICOS
813197,"CONTROLEREMOTO433,92PRETOCOMBOTÃOPRETOAGL-MONTADO",UNIDADE,UN,"34,00"
813031,COPODEFREIODESLIZANTE,UNIDADE,UN,"7,00"
813524,COPODEFREIOPIVOTANTE/NEWBVSPEED,UNIDADE,UN,"3.105,00"
813527,COPODOPINOELÁSTICODOEIXOESTAMPADO,UNIDADE,UN,"3.625,00"
411058,"CORDÃOESPONJOSO1/8Ø3MM+0,4MM(ANELDEVEDAÇÃO)",METRO,MT,"683,60"
804549,COROADOMOVIMENTADORBV/PIVONYLONØ17MM,UNIDADE,UN,"142,00"
804508,COROADOMOVIMENTADORBV/PIVONYLONØ20MM,UNIDADE,UN,"1.749,41"
813278,COROADOMOVIMENTADORBV/PIVOZAMAC,UNIDADE,UN,AGLELETRONICOS
701256,COROAZ11PARABVCADENA(P/CORRENTEASA410)-BRUTO,UNIDADE,UN,"100,00"
401225,"CORRENTEDEROLOASA410122ELOS(3098MM)PARAACIONAMENTOBVCADENADE1,5M",METRO,MT,"629,08"
402017,CPDEFERROZINCADO3/16X1.1/4,UNIDADE,UN,"9.711,00"
2010325,CREMALHEIRAP/MOTORINDUSTRIALSTRONG2000KG1MGOMOALUMÍNIOEX,UNIDADE,UN,AGLMOTORES
Página,7,/,21,
,,,,
Emissãoem:,,,,
EstoqueProdutos-LocaldeEstoque,02/09/202520:07:14,,,
LOCAL:,MOTORES,,,
,,,,
Código,DescriçãoProduto,Embalagem,UN,Referência
813083,"CREMALHEIRAPERFILAÇOGOMODEALUMÍNIO1,0M",UNIDADE,UN,"600,00"
813354,"CREMALHEIRAPERFILAÇOGOMODEALUMÍNIO1,0MMOTORINDUSTRIAL",UNIDADE,UN,"4,00"
813101,"CREMALHEIRAPERFILAÇOGOMODEALUMÍNIO1,5M",UNIDADE,UN,"248,00"
813119,"CREMALHEIRAPERFILAÇOGOMODEPLÁSTICO0,5M",UNIDADE,UN,"6,00"
2001028,"CREMALHEIRARESIDENCIAL0,50METROGOMOALUMMOD4",UNIDADE,UN,AGLMOTORES
2001023,"CREMALHEIRARESIDENCIAL0,50METROGOMOPLÁSTICOMOD4",UNIDADE,UN,AGLMOTORES
2001016,CREMALHEIRARESIDENCIAL1METROGOMOALUMMOD4,UNIDADE,UN,AGLMOTORES
2001019,CREMALHEIRARESIDENCIAL1METROGOMOPLÁSTICOMOD4,UNIDADE,UN,AGLMOTORES
2004060,"CREMALHEIRARESIDENCIAL1,5METROGOMOALUMMOD4KRIPT",UNIDADE,UN,AGLMOTORES
2004061,"CREMALHEIRARESIDENCIAL1,5METROGOMOPLÁSTICOMOD4KRIPT",UNIDADE,UN,AGLMOTORES
813280,CRUZETADOMANCAL,UNIDADE,UN,"4.966,00"
813030,DISCODEFRICÇÃODECELEROMØ12MM,UNIDADE,UN,"2.890,00"
813412,DISCODEFRICÇÃODECELEROMØ20MM,MM,MM,"15.651,00"
813529,DISCODOENCODERDZ(LADOFÊMEA),UNIDADE,UN,"4.635,00"
813528,DISCODOENCODERDZ(LADOMACHO),UNIDADE,UN,"4.527,00"
104404,DISSIPADORDECALORSTLF-1181P7''-(NOVAINVERSORA),METROS,MT,AGLELETRONICOS
811914,DIVISÓRIADEPAPELÃODACAIXATRINOLOG,UNIDADE,UN,"4.750,00"
813341,EIXOAGLP45P/VENTOINHA,UNIDADE,UN,"33,00"
2010301,EIXOCOMPLETOMOTORINDUSTRIAL,UN,UN,AGLMOTORES
701232,EIXODAROLDANABVCADENA-BRUTO,UNIDADE,UN,"156,00"
813505,EIXODECONEXÃODEMOLADUPLADACANCELAAGUSTA-ZINCADO,UNIDADE,UN,"43,00"
701233,EIXODETRAÇÃODAPORCAACIONADORA-BRUTO,UNIDADE,UN,"2.892,00"
813477,EIXODETRAÇÃODAPORCAACIONADORA-ZINCADO,UNIDADE,UN,"705,00"
813041,EIXODETRAÇÃODOBASCULANTE(MODELOANTIGO),UNIDADE,UN,"276,00"
2010083,EIXODESLIZANTECOMPLETO02ENTRADASZAMACEX,UNIDADE,UN,AGLMOTORES
701156,EIXODOMOTORINDUSTRIAL-BRUTO,UNIDADE,UN,"450,00"
813525,"EIXOESTAMPADOPARAMOTORTRINOLIGHT/300
-ZINCADO",UNIDADE,UN,"5.781,00"
701154,EIXOMOTORDESLIZANTE-BRUTO,UNIDADE,UN,"631,00"
701243,EIXOPRINCIPALBVCADENA,UNIDADE,UN,"39,00"
813012,EIXOPRINCIPALDOACIONAMENTOBV-ZINCADO,UNIDADE,UN,"70,41"
701147,EIXOPRINCIPALDOACIONAMENTOBV/PIVO-BRUTO,UNIDADE,UN,"4.377,00"
701155,EIXOPRINCIPALDONEWBV-BRUTO,UNIDADE,UN,"1.389,00"
813114,EIXOPRINCIPALDONEWBV1ENTRADA-ZINCADO,UNIDADE,UN,"611,00"
401226,ELODEEMENDACL410-RCCCORRENTEBVCADENA,UNIDADE,UN,"389,00"
811853,"EMBALAGEMPARAACIONAMENTOBVCADENA1,5MCOMIMPRESSÃO",UNIDADE,UN,"220,33"
811866,EMBALAGEMPLÁSTICAPEÇASREPOSIÇÃOCOMLOGO(150MMX200MM),UNIDADE,UN,"4.500,00"
Página,8,/,21,
,,,,
Emissãoem:,,,,
EstoqueProdutos-LocaldeEstoque,02/09/202520:07:14,,,
LOCAL:,MOTORES,,,
,,,,
Código,DescriçãoProduto,Embalagem,UN,Referência
811872,EMBALAGEMPLÁSTICAPEÇASREPOSIÇÃOCOMLOGO(150MMX300MM),UNIDADE,UN,"11.199,00"
813243,ENGRENAGEMEXTERNAMOTORINDUSTRIAL,UNIDADE,UN,"30,00"
813037,ENGRENAGEMEXTERNAMOTOR17DENTES,UNIDADE,UN,"9.297,00"
813096,ENGRENAGEMEXTERNA17DPARAEIXOESTAMPADOTRINOLIGHT/300,UNIDADE,UN,AGLELETRONICOS
813099,ENGRENAGEMINTERNADEZAMACDODESLIZANTETRINOSPEED300/5002ENTRADAS,UNIDADE,UN,AGLELETRONICOS
813100,ENGRENAGEMINTERNADEZAMACDODESLIZANTETRINO700/9001ENTRADA300/500,UNIDADE,UN,AGLELETRONICOS
813539,ENGRENAGEMINTERNADE1ENTRADAC/IMÃNYLON615%FV,UNIDADE,UN,"900,00"
813094,ENGRENAGEMINTERNADE1ENTRADADZENEWBVCOMIMÃ,UNIDADE,UN,"1.547,00"
813289,ENGRENAGEMINTERNADE1ENTRADADZENEWBVSEMIMÃ,UNIDADE,UN,"3.265,00"
2010389,ENGRENAGEMINTERNATRINOIZZY300/500SPEEDTURBOPRÓ-COMIMÃ,UNIDADE,UN,AGLMOTORES
2010215,ENGRENAGEMINTERNATRINOLIGHT300/500-SEMIMÃEX,UNIDADE,UN,AGLMOTORES
701157,ENGRENAGEMINTERNA1ENTRADAPARAMOTORINDUSTRIAL-BRUTO,UNIDADE,UN,AGLELETRONICOS
813506,ENGRENAGEMINTERNA1ENTRADAPARAMOTORINDUSTRIALDENYLON,UNIDADE,UN,"143,00"
813247,ENGRENAGEM2ENTRADASNEWBVCOMIMÃ,UNIDADE,UN,"619,00"
813295,ENGRENAGEM2ENTRADASNEWBVSEMIMÃ,UNIDADE,UN,"400,00"
402018,ESPAGUETE3/8LISO10MMX150MM,METRO,MT,"748,70"
603036,ESTATORAVULSOPARAMOTORAC600-NUCLEOMOTORDESMONT.P/AUTOMATIZADORP/PORTADEENROLARAC600,UNIDADE,UN,"200,00"
412173,ESTATORBOBINADOAGLBV/NEWBV/PIVOP281/5cv0442127V60H-DOORLINE,UNIDADE,UN,"878,00"
412008,ESTATORBOBINADOAGLBV/NEWBV/PIVOP281/5cv0442127V60Hz,UNIDADE,UN,"661,00"
412145,ESTATORBOBINADOAGLBV/NEWBV/PIVOP281/5cv0442220V50Hz,UNIDADE,UN,"297,00"
412155,ESTATORBOBINADOAGLBV/NEWBV/PIVOP281/5cv0442220V60Hz,UNIDADE,UN,"451,00"
412149,ESTATORBOBINADOAGLBV/NEWBV/PIVOP331/3cv0442z220V50Hz,UNIDADE,UN,"413,00"
412023,ESTATORBOBINADOAGLBV/NEWBV/PIVOP331/4cv0442z127V60Hz,UNIDADE,UN,"64,00"
412150,ESTATORBOBINADOAGLBV/NEWBV/PIVOP331/4cv0442z220V60Hz,UNIDADE,UN,"260,00"
412032,ESTATORBOBINADOAGLDESLP171/7cv0442Z127V60HZ,UNIDADE,UN,"276,00"
412030,ESTATORBOBINADOAGLDESLP171/7cv0442Z220V50HZ,UNIDADE,UN,"312,00"
412020,ESTATORBOBINADOAGLDESLP171/7cv0442Z220V60HZ,UNIDADE,UN,"1,00"
412080,ESTATORBOBINADOAGLDESLP222P220V60HZ,UNIDADE,UN,"114,00"
412152,ESTATORBOBINADOAGLDESLP241/4CV4P3F110V60HZ,UNIDADE,UN,"24,00"
412160,ESTATORBOBINADOAGLDESLP242P127V60HZ,UNIDADE,UN,"25,00"
412065,ESTATORBOBINADOAGLDESLP242P220V60HZ,UNIDADE,UN,"164,00"
412006,ESTATORBOBINADOAGLDESLP281/4cv0442Z127V60Hz,UNIDADE,UN,"117,00"
412146,ESTATORBOBINADOAGLDESLP281/4cv0442Z220V50HZ,UNIDADE,UN,"21,00"
412026,ESTATORBOBINADOAGLDESLP281/4cv0442Z220V60Hz,UNIDADE,UN,"106,00"
412101,ESTATORBOBINADOAGLDESLP331/4cv0442Z127V60Hz,UNIDADE,UN,"122,00"
412164,ESTATORBOBINADOAGLDESLP331/4cv0442Z220V50Hz,UNIDADE,UN,"3,00"
Página,9,/,21,
,,,,
Emissãoem:,,,,
EstoqueProdutos-LocaldeEstoque,02/09/202520:07:14,,,
LOCAL:,MOTORES,,,
,,,,
Código,DescriçãoProduto,Embalagem,UN,Referência
412028,ESTATORBOBINADOAGLDESLP331/4cv0442Z220V60Hz,UNIDADE,UN,"61,00"
412159,ESTATORBOBINADOAGLDESLP394P3F110V60HZ,UNIDADE,UN,"20,00"
412167,ESTATORBOBINADOAGLDESLP451/2cv0442Z127V60Hz,UNIDADE,UN,"6,00"
412014,ESTATORBOBINADOAGLDESLP60STRONG1/3cv0442Z220V60HZ,UNIDADE,UN,"23,00"
412169,ESTATORBOBINADOAGLDESLP80STRONG3/4127V60HZ,UNIDADE,UN,"39,00"
412158,ESTATORBOBINADOAGLDESLP80STRONG3/4220V50/60HZ,UNIDADE,UN,"162,00"
412121,ESTATORBOBINADOAGLNEWBVP171/7cv0442Z127V60HZ,UNIDADE,UN,"98,00"
412063,ESTATORBOBINADOAGLNEWBVP171/7cv0442Z220V50HZ,UNIDADE,UN,"427,00"
412120,ESTATORBOBINADOAGLNEWBVP171/7cv0442Z220V60HZ,UNIDADE,UN,"191,00"
412024,ESTATORBOBINADOAGLNEWBVP390442Z127V60HZ,UNIDADE,UN,"49,00"
412151,ESTATORBOBINADOAGLNEWBVP390442Z220V60HZ,UNIDADE,UN,"226,00"
412378,ESTATORBOBINADOAGLNEWBV/BVSPEEDTURBOPROP174P3F110V60HZ,UNIDADE,UN,"25,00"
412038,ESTATORBOBINADOAGLNEWBV/BVSPEEDTURBOPROP394P3F110V60HZ,UNIDADE,UN,"185,00"
813416,ESTATOREROTORP17220V60HZMONTADOPARATRINOLIGHT/300/IZZY300,UNIDADE,UN,"15,00"
2030065,ESTATOREROTORP33127V60HZMONTADOPARATRINO700/IZZY700,UNIDADE,UN,AGLMOTORES
2030067,ESTATOREROTORP45127V60HZMONTADOPARATRINO900/IZZY900,UNIDADE,UN,AGLMOTORES
402039,"ESTICADOROLHALCOMGANCHO8MM5/16""GALVANIZADO",UNIDADE,UN,"207,00"
811311,ETIQUETAADES.BOPPFOSCOC/DFAM50MMX25MMX02CAR,UNIDADE,UN,"5.246,00"
811860,ETIQUETAADES.BOPPFOSCO40MMX15MMX02CARAMARELA,UNIDADE,UN,"9.000,00"
811306,ETIQUETAADES.COUCHE100MMX80MMX01CAR,UNIDADE,UN,"5.914,41"
811327,ETIQUETAADES.COUCHE100MMX80MMX01CARAMARELA,UNIDADE,UN,"9.702,00"
811329,ETIQUETAADES.COUCHE100MMX80MMX01CARAZUL,UNIDADE,UN,"8.342,00"
811328,ETIQUETAADES.COUCHE100MMX80MMX01CARVERDE,UNIDADE,UN,"3.322,00"
811330,ETIQUETAADES.COUCHE100MMX80MMX01CARVERMELHA,UNIDADE,UN,"13.764,00"
46290,EtiquetaAdes.Couche12mmX12mmX04CarRed..-ET.01,MIL,MIL,"21.188,00"
46291,EtiquetaAdes.Couche12mmX12mmX04CarRed..-ET.02,MIL,MIL,"21.188,00"
811309,ETIQUETAADES.COUCHE30MMX10MMX03CAR,UNIDADE,UN,"199.709,00"
811276,ETIQUETAADES.COUCHE40MMX25MMX02CAR,UNIDADE,UN,"36.654,90"
811312,ETIQUETAADES.COUCHE90MMX55MMX01CAR,UNIDADE,UN,"3.618,00"
811318,ETIQUETARESINADAPARACANCELAAGUSTA,UNIDADE,UN,"9,00"
811319,ETIQUETARESINADAPARACANCELALOGOAGL,UNIDADE,UN,"156,00"
102572,FILMEPLÁSTICOTERMOENCOLHÍVELGROSSO60CM,METRO,MT,AGLELETRONICOS
813015,FIMDECURSOMECANICO-ZINCADO,UNIDADE,UN,"6.450,00"
103795,"FIOPARALELO1,5MMN14BCMEGA100M",METRO,MT,AGLELETRONICOS
103794,"FIOPARALELO2,5MMN12BCMEGA100M",METRO,MT,AGLELETRONICOS
105008,"FITADEARQUEAR10X0,65AZULC/3000",METRO,MT,AGLELETRONICOS
Página,10,/,21,
,,,,
Emissãoem:,,,,
EstoqueProdutos-LocaldeEstoque,02/09/202520:07:14,,,
LOCAL:,MOTORES,,,
,,,,
Código,DescriçãoProduto,Embalagem,UN,Referência
916117,FITALED5050RGB60LEDS/MIP6512V5M,UNIDADE,UN,"12,00"
105011,FLUXO4300-SCH=NOCLEAN,LITROS,LT,"43,79"
102568,FONTEDEALIMENTAÇÃO12V-3APOWERSUPPLIER,UNIDADE,UN,AGLELETRONICOS
102815,FONTEDEALIMENTAÇÃO12V-5APOWERSUPPLIER,UNIDADE,UN,AGLELETRONICOS
813181,"FUSOP7.5MMDE0,50ME2ENTRADAS",UNIDADE,UN,"1.492,00"
813182,"FUSOP7.5MMDE0,75ME2ENTRADASPIVO",UNIDADE,UN,"984,00"
813183,"FUSOP7.5MMDE1,0ME2ENTRADAS",UNIDADE,UN,"1.012,00"
813275,"FUSOP7.5MMDE1,4ME4ENTRADASBV",UNIDADE,UN,"86,00"
813184,"FUSOP7.5MMDE1,5ME2ENTRADAS",UNIDADE,UN,"180,00"
813050,"FUSOP7.5MMDE1,5ME4ENTRADASBV",UNIDADE,UN,"924,00"
813017,"FUSOP7.5MMDE1,5ME5ENTRADAS",UNIDADE,UN,"928,00"
813212,"FUSOP7.5MMDE1,75ME4ENTRADASBV",UNIDADE,UN,"30,00"
813216,"FUSOP7.5MMDE1,75ME5ENTRADAS",UNIDADE,UN,"83,00"
813044,"FUSOP7.5MMDE2,0ME4ENTRADASBV",UNIDADE,UN,"77,00"
813186,"FUSOP7.5MMDE2,0ME5ENTRADAS",UNIDADE,UN,"30,00"
813045,"FUSOP7.5MMDE2,0ME6ENTRADAS",UNIDADE,UN,"34,00"
813158,"FUSOP7.5MMDE2,5ME4ENTRADASBV",UNIDADE,UN,"23,00"
813188,"FUSOP7.5MMDE2,5ME5ENTRADAS",UNIDADE,UN,"60,00"
813141,"FUSOP7.5MMDE2,5ME6ENTRADAS",UNIDADE,UN,"49,00"
813159,"FUSOP7.5MMDE3,0ME4ENTRADASBV",UNIDADE,UN,"26,00"
813204,"FUSOP7.5MMDE3,0ME5ENTRADAS",UNIDADE,UN,"30,00"
813189,"FUSOP7.5MMDE3,0ME6ENTRADAS",UNIDADE,UN,"65,00"
813191,"FUSOP7.5MMDE3,5ME5ENTRADAS",UNIDADE,UN,"28,00"
813155,"FUSOP7.5MMDE3,5ME6ENTRADAS",UNIDADE,UN,"66,00"
813160,"FUSOP7.5MMDE4,0ME4ENTRADASBV",UNIDADE,UN,"13,00"
813190,"FUSOP7.5MMDE4,0ME5ENTRADAS",UNIDADE,UN,"2,00"
813192,"FUSOP7.5MMDE4,0ME6ENTRADAS",UNIDADE,UN,"34,00"
813193,"FUSOP7.5MMDE4,5ME5ENTRADAS",UNIDADE,UN,"10,00"
813194,"FUSOP7.5MMDE4,5ME6ENTRADAS",UNIDADE,UN,"21,00"
813210,FUSOP7.5MMDE5ME6ENTRADAS,UNIDADE,UN,"14,00"
813163,"FUSOP7.5MMDE5,0ME4ENTRADASBV",UNIDADE,UN,"3,00"
813195,"FUSOP7.5MMDE5,5ME6ENTRADAS",UNIDADE,UN,"10,00"
813196,"FUSOP7.5MMDE6,0ME6ENTRADAS",UNIDADE,UN,"30,00"
813307,"FUSOP.60Ø1/2DE1,4M",UNIDADE,UN,"1.432,00"
813364,"FUSOP.60Ø1/2DE1,5M",UNIDADE,UN,"1.841,00"
813366,"FUSOP.60Ø1/2DE2,0M",UNIDADE,UN,"44,00"
Página,11,/,21,
,,,,
Emissãoem:,,,,
EstoqueProdutos-LocaldeEstoque,02/09/202520:07:14,,,
LOCAL:,MOTORES,,,
,,,,
Código,DescriçãoProduto,Embalagem,UN,Referência
813367,"FUSOP.60Ø1/2DE2,5M",UNIDADE,UN,"19,00"
813368,"FUSOP.60Ø1/2DE3,0M",UNIDADE,UN,"24,00"
813369,"FUSOP.60Ø1/2DE3,5M",UNIDADE,UN,"11,00"
813357,"FUSOP.60Ø5/8DE1,4M",UNIDADE,UN,"407,00"
813304,"FUSOP.60Ø5/8DE1,5M",UNIDADE,UN,"508,00"
813358,"FUSOP.60Ø5/8DE1,75M",UNIDADE,UN,"12,00"
813359,"FUSOP.60Ø5/8DE2,0M",UNIDADE,UN,"35,00"
813360,"FUSOP.60Ø5/8DE2,5M",UNIDADE,UN,"26,00"
813361,"FUSOP.60Ø5/8DE3,0M",UNIDADE,UN,"12,00"
813362,"FUSOP.60Ø5/8DE3,5M",UNIDADE,UN,"12,00"
813242,"FUSOP.60Ø5/8DE4,0M",UNIDADE,UN,"9,00"
813381,"FUSOP.60Ø5/8DE4,5M",UNIDADE,UN,"18,00"
813363,"FUSOP.60Ø5/8DE5,0M",UNIDADE,UN,"7,00"
813384,"FUSOP.60Ø5/8DE5,5M",UNIDADE,UN,"4,00"
811104,GABARITODEINSTALAÇÃOLINHATRINO,UNIDADE,UN,"13.388,00"
801220,GABINETEDACANCELA-BRANCA,UNIDADE,UN,"3,00"
801219,GABINETEDACANCELA-CINZA,UNIDADE,UN,"12,00"
1015555,GABINETEDACANCELAAGUSTABRUSHLESSS/PORTA-CINZA,UNIDADE,UN,AGLELETRONICOS
801251,GABINETEDACANCELAAGUSTALIGHT-CINZA,UNIDADE,UN,"6,00"
813128,GOMOALUMINIO25CMP/CREMALHEIRAMOTORSTRONG,UNIDADE,UN,"3.044,00"
813127,GOMONYLON25CMP/CREMALHEIRAMOTORSTRONG,UNIDADE,UN,AGLELETRONICOS
813146,GOMO25CMP/CREMALHEIRAALUMÍNIO,UNIDADE,UN,"11.200,00"
813080,GOMO25CMP/CREMALHEIRAPLASTICO-PRETO,UNIDADE,UN,"2.098,44"
201125,GRAMPO35/18UNIDADE,UNIDADE,UN,AGLMOTORES
501043,GRAXABRANCASACHE10G,UN,UN,"2.133,00"
401224,"GRAXEIRARETAM6X1,0-ACOZINCADO",UNIDADE,UN,"179,00"
813356,GUIADAARTICULAÇÃOZINCADA-BARREIRAARTICULADA,UNIDADE,UN,"8,00"
813355,GUIAESTICADORZINCADO-BARREIRAARTICULADACANCELA,UNIDADE,UN,"8,00"
208004,IMÃDEFERRITE-B20X13X5MM,UNIDADE,UN,AGLMOTORES
208003,IMÃDEFERRITE-B40X20X10MM,UNIDADE,UN,AGLMOTORES
510027,INLUBGRAXMP2/TI,QUILOGRAMA,KG,"455,87"
2003001,"INTER.DIGI.DIGITALKEY6P20433,92BRANCOCOMBOTÃOBRANCOAGL",UNIDADE,UN,AGLMOTORES
2003003,"INTER.DIGI.DIGITALKEY6P20433,92BRANCOCOMBOTÃOPRETOAGL",UNIDADE,UN,AGLMOTORES
2003041,"INTER.DIGI.DIGITALKEY6P20433,92BRANCOCOMBOTÃOPRETOKRIPT",UNIDADE,UN,AGLMOTORES
2003008,"INTER.DIGI.DIGITALKEY6P20433,92PRETOCOMBOTÃOBRANCOAGL",UNIDADE,UN,AGLMOTORES
2003018,"INTER.DIGI.DIGITALKEY6P20433,92PRETOCOMBOTÃOPRETOAGLEX",UNIDADE,UN,AGLMOTORES
Página,12,/,21,
,,,,
Emissãoem:,,,,
EstoqueProdutos-LocaldeEstoque,02/09/202520:07:15,,,
LOCAL:,MOTORES,,,
,,,,
Código,DescriçãoProduto,Embalagem,UN,Referência
2007021,ITEMDESCONTINUADO-CONJUNTOMOVIMENTADORTRINOPIVÔ3127V-1M-DUPLO,UNIDADE,UN,AGLMOTORES
2007023,"ITEMDESCONTINUADO-CONJUNTOMOVIMENTADORTRINOPIVÔ3127V-1,5M-DUPLO",UNIDADE,UN,AGLMOTORES
2010302,ITEMDUPLICADO-NOBREAKPARAMOTORDEENROLARDC800,UNIDADE,UNIDADE,AGLMOTORES
813549,JUNÇÃOPOSICIONADORAPIVOROBÔ-ZINCADO,UNIDADE,UN,"3,00"
813014,LINGUETADOCILINDRODAALAVANCADEDESTRAVAMENTOMANUALDZZI,UNIDADE,UN,"6.219,00"
813040,MANCALDECENTRAGEM,UNIDADE,UN,"4.413,64"
813491,MANCALDEENCAIXEDOACIONAMENTOBVCADENA-ZINCADO,UNIDADE,UN,"57,00"
813513,MANCALDEJUNÇÃODOSUPORTEDABARREIRA(FÊMEA),UNIDADE,UN,"75,00"
813512,MANCALDEJUNÇÃODOSUPORTEDABARREIRA(MACHO),UNIDADE,UN,"77,00"
402040,"MANCALOVALUCFL205-16ROLUC205-16PARAEIXO25,4",UNIDADE,UN,"160,00"
813054,MANCALPERFILINFERIOR,UNIDADE,UN,"281,41"
813048,MANCALPERFILSUPERIORBV,UNIDADE,UN,"3.029,41"
813317,MANCALSUPERIORDOPIVO,UNIDADE,UN,"2.865,00"
813475,MANCALTENSIONADORBVCADENA-ZINCADO,UNIDADE,UN,"4,00"
209001,MANG3/4PRETAPESADA,METRO,MT,AGLMOTORES
811043,MANUALCANCELASEMLOGOEMPORTUGUÊS,UNIDADE,UN,"54,00"
811032,MANUALDEINSTALAÇÃOLINHADESLIZANTEBRABUSSEMLOGOBILÍNGUE(CENTRALFXBRABUS),UNIDADE,UN,"1.051,00"
811039,MANUALDEINSTALAÇÃOLINHADESLIZANTETURBOSEMLOGOESPANHOL(CENTRALNEWINVERTER),UNIDADE,UN,"627,00"
811106,MANUALDEINSTALAÇÃOLINHADESLIZANTETURBOSEMLOGOPORTUGUÊS(CENTRALNEWINVERTER),UNIDADE,UN,"607,00"
811038,MANUALDEINSTALAÇÃOLINHADZHORIZONTALSEMLOGOESPANHOL(CENTRALFLEX),UNIDADE,UN,"475,00"
811033,MANUALDEINSTALAÇÃOLINHADZHORIZONTALSEMLOGOPORTUGUÊS(CENTRALFLEX),UNIDADE,UN,"482,00"
811040,MANUALDEINSTALAÇÃOLINHAIZZYQRCODEBILINGUE,UNIDADE,UN,"5.063,00"
811042,MANUALDEINSTALAÇÃOLINHANEWBVTURBOSEMLOGOESPANHOL(CENTRALNEWINVERTER),UNIDADE,UN,"532,00"
811041,MANUALDEINSTALAÇÃOLINHANEWBVTURBOSEMLOGOPORTUGUÊS(CENTRALNEWINVERTER),UNIDADE,UN,"397,00"
811037,MANUALDEINSTALAÇÃOLINHAPIVOTANTESEMLOGOESPANHOL(CENTRALFLEX/DUPLA),UNIDADE,UN,"421,00"
811034,MANUALDEINSTALAÇÃOLINHAPIVOTANTESEMLOGOPORTUGUÊS(CENTRALFLEX/DUPLA),UNIDADE,UN,"1.311,00"
811788,MANUALDEINSTALAÇÃOTRASEIRODOACIONAMENTODOBV(MANCAL),UNIDADE,UN,"4.086,00"
811107,MANUALLINHABASCULANTE/NEWBVSEMLOGOESPANHOL(CENTRALFLEX/LIGHT),UNIDADE,UN,"1.274,00"
811825,MANUALLINHASTRONG2000SEMLOGOEMESPANHOL(CENTRALCCMDINDUSTRIAL),UNIDADE,UN,"142,00"
811824,MANUALLINHASTRONG2000SEMLOGOEMPORTUGUÊS(CENTRALCCMDINDUSTRIAL),UNIDADE,UN,"165,00"
811787,MANUALP/AUTOMATIZADORDZ/BV/NEWBVCENTRALFLEX/LIGHTEMESPANHOLSEMLOGO,UNIDADE,UN,"1.670,00"
811122,MANUALP/AUTOMATIZADORDZ/BV/NEWBVCENTRALFLEX/LIGHTEMPORTUGUÊSSEMLOGO,UNIDADE,UN,"4.972,00"
500035,MANUALPISTONCLICK,UNIDADE,UN,"206,00"
102806,MICROCHAVENS0-040DPARABVCORRENTE,UNIDADE,UN,AGLELETRONICOS
100226,MICROCONTROLADORZY-AGL433-REMOTEPCB-ZYAGL.,UNIDADE,UN,AGLELETRONICOS
813293,MIOLODOCILINDRONYLONMOTORDESLIZANTE,UNIDADE,UN,"7.047,00"
Página,13,/,21,
,,,,
Emissãoem:,,,,
EstoqueProdutos-LocaldeEstoque,02/09/202520:07:15,,,
LOCAL:,MOTORES,,,
,,,,
Código,DescriçãoProduto,Embalagem,UN,Referência
403043,MOLACÔNICADOFREIODESLIZANTEØ1.8,PC,UN,"13.684,00"
403027,MOLACÔNICADOFREIODESLIZANTEØ2.4,PC,UN,"30.423,00"
403032,MOLADEDESTRAVAMENTODESLIZANTE,UN,UN,"10.193,00"
403050,"MOLADEDESTRAVAMENTOMOTORINDUSTRIALFIO2,40MMX80,00MM",UN,UN,"892,00"
403047,MOLADOFREIOMOTORPIVOTANTE/NEWBV,UNIDADE,UN,"4.670,00"
403055,MOLADOFREIONEWBVHEAVYSPEED,UNIDADE,UN,"879,00"
403049,MOLAPARADESTRAVAMENTOPIVOTANTE,UN,UN,"2.684,00"
603022,MOTORAVULSODEAUTOMATIZADORPARAPORTASAGL01-AC300220V,UNIDADE,UN,"244,00"
603025,MOTORAVULSODEAUTOMATIZADORPARAPORTASDEENROLAR-AC400,UNIDADE,UN,"98,00"
603026,MOTORAVULSODEAUTOMATIZADORPARAPORTASDEENROLAR-AC500,UNIDADE,UN,"103,00"
603027,MOTORAVULSODEAUTOMATIZADORPARAPORTASDEENROLAR-AC600,UNIDADE,UN,"164,00"
603034,MOTORAVULSODEAUTOMATIZADORPARAPORTASDEENROLAR-DC1000,UNIDADE,UN,"15,00"
603035,MOTORAVULSODEAUTOMATIZADORPARAPORTASDEENROLAR-DC1500,UNIDADE,UN,"10,00"
603030,MOTORAVULSODEAUTOMATIZADORPARAPORTASDEENROLAR-DC200,UNIDADE,UN,"37,00"
603031,MOTORAVULSODEAUTOMATIZADORPARAPORTASDEENROLAR-DC300,UNIDADE,UN,"30,00"
603032,MOTORAVULSODEAUTOMATIZADORPARAPORTASDEENROLAR-DC500,UNIDADE,UN,"24,00"
603033,MOTORAVULSODEAUTOMATIZADORPARAPORTASDEENROLAR-DC800,UNIDADE,UN,"33,00"
916058,NOBREAKDC-PARAPORTADEENROLAR,UNIDADE,UN,"12,00"
401172,PACOMETS/CABSXINTPTACONCOVAM8X20MMOX,UNIDADE,UN,"521,00"
401140,"PACO12,9METCILSXINTM8X30MMOX",UNIDADE,UN,"36,00"
401208,PAMQPNHXLT25TMA5X12RIZB,UNIDADE,UN,"16.168,00"
46932,PALETEIRA2.000KG,UN,UN,"1,00"
